"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl12",0,2.35756607328529,1,0.38,0,"G0","Rpl12"
"Rps20",0,2.22771658984693,1,0.561,0,"G0","Rps20"
"Rpl10a",0,2.19060956653719,1,0.406,0,"G0","Rpl10a"
"Rpl3",0,2.16538469453243,1,0.397,0,"G0","Rpl3"
"Rpsa",0,2.14544920209823,1,0.503,0,"G0","Rpsa"
"Rps18",0,2.11293444359147,1,0.646,0,"G0","Rps18"
"Rps19",0,2.10578382408033,1,0.741,0,"G0","Rps19"
"Hsp90ab1",0,2.08437379214141,1,0.436,0,"G0","Hsp90ab1"
"Rplp1",0,2.06087979622434,1,0.791,0,"G0","Rplp1"
"Rpl32",0,2.04073522768812,1,0.775,0,"G0","Rpl32"
"Rps17",0,2.00940884321098,1,0.594,0,"G0","Rps17"
"Rps4x",0,2.0016872993949,1,0.67,0,"G0","Rps4x"
"Rps5",0,1.99773369737629,1,0.701,0,"G0","Rps5"
"Rps8",0,1.99714274353523,1,0.77,0,"G0","Rps8"
"Rps12",0,1.97932793098389,1,0.786,0,"G0","Rps12"
"Rpl36a",0,1.97395880002504,1,0.452,0,"G0","Rpl36a"
"Rpl14",0,1.93363498276474,1,0.547,0,"G0","Rpl14"
"Rps24",0,1.92809749544552,1,0.816,0,"G0","Rps24"
"mt-Atp6",0,1.91728379240227,1,0.722,0,"G0","mt-Atp6"
"Rpl28",0,1.91133200071373,1,0.723,0,"G0","Rpl28"
"Rpl35",0,1.90413557614728,1,0.52,0,"G0","Rpl35"
"Eef1a1",0,1.90310603008956,1,0.821,0,"G0","Eef1a1"
"Gnb2l1",0,1.90039083306814,1,0.405,0,"G0","Gnb2l1"
"Rps2",0,1.8995884737993,1,0.577,0,"G0","Rps2"
"Rpl36",0,1.88213709229665,1,0.629,0,"G0","Rpl36"
"Rps7",0,1.87264501659865,1,0.758,0,"G0","Rps7"
"Rpl22",0,1.86738307525186,1,0.429,0,"G0","Rpl22"
"Rpl39",0,1.8652161843501,1,0.822,0,"G0","Rpl39"
"Rpl5",0,1.859718575102,1,0.467,0,"G0","Rpl5"
"Rpl26",0,1.84546880749802,1,0.81,0,"G0","Rpl26"
"Rpl6",0,1.84205352052583,1,0.683,0,"G0","Rpl6"
"Rpl23",0,1.83349691755064,1,0.883,0,"G0","Rpl23"
"Rps3a1",0,1.82402150209738,1,0.817,0,"G0","Rps3a1"
"Rps15a",0,1.81914523808137,1,0.789,0,"G0","Rps15a"
"Rps28",0,1.81569760949135,1,0.713,0,"G0","Rps28"
"mt-Cytb",0,1.79683135933159,1,0.509,0,"G0","mt-Cytb"
"Rps15",0,1.79463868271626,1,0.782,0,"G0","Rps15"
"Rps11",0,1.78696490364915,1,0.819,0,"G0","Rps11"
"Rpl31",0,1.77997900836875,1,0.722,0,"G0","Rpl31"
"mt-Co3",0,1.77990690963959,1,0.754,0,"G0","mt-Co3"
"mt-Nd4",0,1.74901133265511,1,0.441,0,"G0","mt-Nd4"
"Rpl4",0,1.73310102514997,1,0.567,0,"G0","Rpl4"
"Rpl19",0,1.7315445845872,1,0.775,0,"G0","Rpl19"
"mt-Co2",0,1.71922803661415,1,0.634,0,"G0","mt-Co2"
"Rps23",0,1.71105969895641,1,0.904,0,"G0","Rps23"
"Rpl13",0,1.70753072145425,1,0.809,0,"G0","Rpl13"
"Rps6",0,1.6945254443829,1,0.801,0,"G0","Rps6"
"Rpl27a",0,1.68851982448893,1,0.834,0,"G0","Rpl27a"
"Rpl13a",0,1.67714947729396,1,0.893,0,"G0","Rpl13a"
"Rplp2",0,1.67570482724849,1,0.884,0,"G0","Rplp2"
"Rps21",0,1.63419859305845,1,0.734,0,"G0","Rps21"
"Rpl30",0,1.63056916554961,1,0.743,0,"G0","Rpl30"
"Rpl7",0,1.61596969255964,1,0.738,0,"G0","Rpl7"
"Rpl7a",0,1.61394676344743,1,0.556,0,"G0","Rpl7a"
"Rpl18",0,1.60507278481327,1,0.747,0,"G0","Rpl18"
"Rps3",0,1.5982872468569,1,0.867,0,"G0","Rps3"
"Rpl21",0,1.5797503814624,1,0.826,0,"G0","Rpl21"
"Rpl10",0,1.57722318422918,1,0.796,0,"G0","Rpl10"
"Rps13",0,1.56443614026761,1,0.845,0,"G0","Rps13"
"Rps10",0,1.5211064580679,1,0.834,0,"G0","Rps10"
"mt-Co1",0,1.51529440114994,1,0.849,0,"G0","mt-Co1"
"Rps14",0,1.50959164750903,1,0.939,0,"G0","Rps14"
"Rpl11",0,1.5056027619226,1,0.798,0,"G0","Rpl11"
"Rpl18a",0,1.48754307353654,1,0.964,0,"G0","Rpl18a"
"Rpl24",0,1.46006259212423,1,0.743,0,"G0","Rpl24"
"Rpl8",0,1.45814892203529,1,0.78,0,"G0","Rpl8"
"Rpl23a",0,1.4548105998507,1,0.857,0,"G0","Rpl23a"
"Rpl29",0,1.44132479876379,1,0.656,0,"G0","Rpl29"
"Rps16",0,1.43842792663835,1,0.953,0,"G0","Rps16"
"Rpl34",0,1.42051711164227,1,0.868,0,"G0","Rpl34"
"Tpt1",0,1.40626078772849,1,0.886,0,"G0","Tpt1"
"Rps29",0,1.38860876112118,1,0.977,0,"G0","Rps29"
"Rpl38",0,1.3781413722531,1,0.811,0,"G0","Rpl38"
"Rplp0",0,1.3640260697373,1,0.794,0,"G0","Rplp0"
"Rpl17",0,1.35270639884782,1,0.944,0,"G0","Rpl17"
"Rpl35a",0,1.32962336635008,1,0.917,0,"G0","Rpl35a"
"Rpl9",0,1.31422324395228,1,0.928,0,"G0","Rpl9"
"Rps25",0,1.29731762376724,1,0.904,0,"G0","Rps25"
"Rpl37a",0,1.25533697448123,1,0.967,0,"G0","Rpl37a"
"Gm9733",0,-0.712258050963647,0,0.234,0,"G0","Gm9733"
"Sfxn5",0,-0.765053975497781,0.015,0.219,0,"G0","Sfxn5"
"Rasgrp4",0,-0.79539322970269,0.027,0.334,0,"G0","Rasgrp4"
"Acta2",0,-0.80902405684081,0.004,0.233,0,"G0","Acta2"
"Bst1",0,-0.868350106074811,0.019,0.301,0,"G0","Bst1"
"Ptafr",0,-0.886948083949618,0.038,0.287,0,"G0","Ptafr"
"Fcgr4",0,-0.906210770279157,0.019,0.332,0,"G0","Fcgr4"
"Fpr1",0,-0.916488664402208,0.015,0.337,0,"G0","Fpr1"
"Cd300lb",0,-0.937769627193766,0.038,0.343,0,"G0","Cd300lb"
"Ceacam10",0,-0.95170325712264,0.034,0.366,0,"G0","Ceacam10"
"Pilrb2",0,-0.980084207186125,0.023,0.434,0,"G0","Pilrb2"
"Siglece",0,-1.00411916970395,0.019,0.424,0,"G0","Siglece"
"AF251705",0,-1.0054127580607,0.034,0.327,0,"G0","AF251705"
"Il1rn",0,-1.08070066675865,0.023,0.387,0,"G0","Il1rn"
"Sirpb1c",0,-1.1384001150201,0.004,0.295,0,"G0","Sirpb1c"
"Trim30b",0,-1.17479598897918,0.053,0.405,0,"G0","Trim30b"
"Lilrb4a",0,-1.23029654643934,0.053,0.512,0,"G0","Lilrb4a"
"Cd300lf",0,-1.25307372956973,0.046,0.518,0,"G0","Cd300lf"
"Gm5150",0,-1.26407258253099,0.015,0.365,0,"G0","Gm5150"
"Gm26740",0,-1.27963941680363,0.069,0.504,0,"G0","Gm26740"
"Asprv1",0,-1.31812644533117,0.011,0.314,0,"G0","Asprv1"
"Pirb",0,-1.32125172234339,0.08,0.577,0,"G0","Pirb"
"Clec4a2",0,-1.37242469186384,0.107,0.61,0,"G0","Clec4a2"
"Arg2",0,-1.43191527348339,0.008,0.472,0,"G0","Arg2"
"Il1f9",0,-1.4376264304651,0.031,0.482,0,"G0","Il1f9"
"Cyp4f18",0,-1.46532368674051,0.05,0.512,0,"G0","Cyp4f18"
"G0s2",0,-1.47352262244625,0.084,0.583,0,"G0","G0s2"
"Sirpb1b",0,-1.51555204926159,0.004,0.441,0,"G0","Sirpb1b"
"Il1r2",0,-1.51712258635239,0.088,0.576,0,"G0","Il1r2"
"Cd300ld",0,-1.53454629908703,0.015,0.494,0,"G0","Cd300ld"
"AB124611",0,-1.54692364903339,0.065,0.701,0,"G0","AB124611"
"1600010M07Rik",0,-1.55071593800852,0.015,0.506,0,"G0","1600010M07Rik"
"H2-Q10",0,-1.58730317673226,0.046,0.446,0,"G0","H2-Q10"
"Amica1",0,-1.59096969551754,0.019,0.486,0,"G0","Amica1"
"Ccr1",0,-1.60068967518699,0.042,0.599,0,"G0","Ccr1"
"Gda",0,-1.6152965523049,0.099,0.727,0,"G0","Gda"
"Slfn1",0,-1.62319009681306,0.015,0.574,0,"G0","Slfn1"
"Slc16a3",0,-1.6593348962342,0.107,0.633,0,"G0","Slc16a3"
"Pla2g7",0,-1.67482283109059,0.008,0.459,0,"G0","Pla2g7"
"Pilra",0,-1.79310774318922,0.034,0.734,0,"G0","Pilra"
"Fcgr3",0,-1.80214753172167,0.103,0.784,0,"G0","Fcgr3"
"C5ar1",0,-1.8235411215349,0.053,0.74,0,"G0","C5ar1"
"Lrg1",0,-1.85009552468833,0.118,0.669,0,"G0","Lrg1"
"Stfa2l1",0,-1.99834136277141,0.019,0.314,0,"G0","Stfa2l1"
"Cxcr2",0,-2.14447672926334,0.13,0.769,0,"G0","Cxcr2"
"Mcemp1",0,-2.17977806235642,0.191,0.885,0,"G0","Mcemp1"
"Slfn2",0,-2.20484922532437,0.115,0.861,0,"G0","Slfn2"
"Gm5483",0,-2.33196151133853,0.034,0.293,0,"G0","Gm5483"
"Mmp9",0,-2.38224423140878,0.16,0.854,0,"G0","Mmp9"
"Il1b",0,-2.97911882518613,0.134,0.623,0,"G0","Il1b"
"Slpi",0,-3.55343615439923,0.332,0.979,0,"G0","Slpi"
"Ccl6",0,-3.63045554472717,0.156,0.815,0,"G0","Ccl6"
"Rpl41",5.92878775009496e-323,1.11524332771513,1,0.986,1.65994199427159e-318,"G0","Rpl41"
"Fgr",6.46158814257016e-319,-0.967122653508942,0.031,0.408,1.80911544815679e-314,"G0","Fgr"
"Eef1b2",2.44065464651701e-318,1.699755143469,1,0.441,6.83334487931832e-314,"G0","Eef1b2"
"Ptma",1.18901512244828e-316,1.85813890308271,1,0.441,3.3290045398307e-312,"G0","Ptma"
"Chil1",6.25217264083835e-312,-1.28605479535256,0.076,0.546,1.75048329598192e-307,"G0","Chil1"
"Lilr4b",1.65660507582411e-309,-0.911973244201065,0.057,0.372,4.63816289129234e-305,"G0","Lilr4b"
"Plbd1",7.28708815582519e-304,-1.16341382255859,0.088,0.521,2.04023894186794e-299,"G0","Plbd1"
"Rpl15",1.12551123215378e-302,1.6221514843414,1,0.415,3.15120634778415e-298,"G0","Rpl15"
"Grina",4.26292803362246e-300,-1.98385788729778,0.24,0.803,1.19353459085362e-295,"G0","Grina"
"Sorl1",2.13750821727207e-295,-1.37140811065842,0.145,0.612,5.98459550671835e-291,"G0","Sorl1"
"Naca",2.18653016139616e-294,1.46841681883795,1,0.53,6.12184714587697e-290,"G0","Naca"
"Fpr2",1.37400591083547e-292,-1.23419030184929,0.088,0.522,3.84694174915715e-288,"G0","Fpr2"
"Tgfbi",1.70676209314395e-292,-1.20543840152291,0.092,0.447,4.77859250838442e-288,"G0","Tgfbi"
"Rpl37",3.96812639116766e-288,0.866223978011071,1,0.987,1.11099602699912e-283,"G0","Rpl37"
"Ppia",1.19953751800507e-287,1.6195984218888,1,0.572,3.3584651429106e-283,"G0","Ppia"
"mt-Nd1",1.1898448430249e-286,1.95624016749519,1,0.355,3.33132759150112e-282,"G0","mt-Nd1"
"Rps27a",1.7127969399071e-285,0.850380369914721,1,0.995,4.79548887235189e-281,"G0","Rps27a"
"Rdh12",3.18148022378262e-279,-1.30391125402356,0.115,0.493,8.90750833054657e-275,"G0","Rdh12"
"Eef1g",1.02494358602022e-276,1.74961809447141,1,0.324,2.86963705213942e-272,"G0","Eef1g"
"Pi16",2.21725354751334e-274,-0.97984655027703,0.073,0.453,6.20786648232786e-270,"G0","Pi16"
"Mmp8",1.3041141822626e-273,-2.32683388000887,0.237,0.706,3.65125888749884e-269,"G0","Mmp8"
"Npm1",2.21593819957565e-271,2.11543988133409,1,0.241,6.2041837711719e-267,"G0","Npm1"
"mt-Nd2",2.2997321292256e-271,2.03900362270366,1,0.241,6.43879001540584e-267,"G0","mt-Nd2"
"Mrgpra2b",2.38192584607054e-271,-0.723621487430027,0.046,0.323,6.6689159838283e-267,"G0","Mrgpra2b"
"Slfn4",3.59064877138692e-267,-0.961468475766873,0.057,0.361,1.00530984301291e-262,"G0","Slfn4"
"Cd33",1.09905291154676e-266,-1.32653819197467,0.137,0.585,3.07712834174861e-262,"G0","Cd33"
"Itgb2",3.84633187456873e-263,-1.4547348948377,0.183,0.702,1.07689599824175e-258,"G0","Itgb2"
"S100a6",3.49422635497537e-262,-3.60910867132419,0.63,0.967,9.78313494866005e-258,"G0","S100a6"
"Gsn",1.34257674190406e-256,-1.34198204988612,0.16,0.614,3.75894636198299e-252,"G0","Gsn"
"Gm10116",2.10354689633825e-255,-1.25838304961354,0.149,0.478,5.88951060036782e-251,"G0","Gm10116"
"Retnlg",2.1547006714312e-253,-4.23030665031485,0.851,0.995,6.03273093987308e-249,"G0","Retnlg"
"Rps12-ps3",4.19936213365944e-251,1.24442201495343,1,0.464,1.17573741018197e-246,"G0","Rps12-ps3"
"Msrb1",5.99579713538715e-248,-3.34232795827812,0.634,0.999,1.67870328196569e-243,"G0","Msrb1"
"Lgals3",3.29690087882622e-246,-1.99277671767907,0.252,0.779,9.23066308053766e-242,"G0","Lgals3"
"Slc7a11",6.79949632720441e-246,-1.14454685273045,0.046,0.346,1.90372298169069e-241,"G0","Slc7a11"
"Rpl36al",1.64573021845769e-245,1.36826577682068,1,0.335,4.60771546563783e-241,"G0","Rpl36al"
"Clec4d",2.10118260234206e-243,-2.00180477156163,0.21,0.692,5.88289105003731e-239,"G0","Clec4d"
"Hdc",2.3602819651722e-243,-2.06123869929232,0.256,0.85,6.60831744608911e-239,"G0","Hdc"
"S100a11",4.59954470211737e-242,-3.41755264524623,0.954,1,1.28778052569882e-237,"G0","S100a11"
"Xist",6.23244629681217e-240,2.19545009761638,1,0.337,1.74496031418147e-235,"G0","Xist"
"Pabpc1",3.44428581010977e-238,1.05768359212064,1,0.568,9.64331141114533e-234,"G0","Pabpc1"
"Rps26",1.10581138285679e-236,1.30293175734158,1,0.703,3.09605070972243e-232,"G0","Rps26"
"Slc40a1",1.18773753672142e-236,-1.03926975125693,0.08,0.429,3.32542755531262e-232,"G0","Slc40a1"
"Pglyrp1",4.92241778813195e-234,-3.0278761559486,0.584,0.982,1.37817853232118e-229,"G0","Pglyrp1"
"Hp",5.84402641796351e-234,-2.76191601239525,0.531,0.982,1.63621051650142e-229,"G0","Hp"
"Trem3",2.5725883629675e-233,-1.39107538938388,0.206,0.665,7.20273289863642e-229,"G0","Trem3"
"S100a8",4.14920054708024e-233,-4.02712276275978,1,1,1.16169316917152e-228,"G0","S100a8"
"Dhrs7",4.12155444534178e-232,-1.53407177946899,0.26,0.743,1.15395281360679e-227,"G0","Dhrs7"
"Gm17619",6.92136982942772e-232,-0.743579036482059,0.038,0.209,1.93784512484317e-227,"G0","Gm17619"
"Stx11",2.01853552955527e-230,-0.853844743243239,0.069,0.382,5.65149577564885e-226,"G0","Stx11"
"Fas",1.7329180976772e-229,-0.7269616633685,0.05,0.252,4.85182408987662e-225,"G0","Fas"
"Rpl22l1",1.89714604958943e-229,1.72636590246323,1,0.317,5.31162950964049e-225,"G0","Rpl22l1"
"Serbp1",1.13852071727607e-228,1.68574517410229,1,0.284,3.18763030422955e-224,"G0","Serbp1"
"S100a9",2.09236827409719e-227,-3.72901203298485,1,1,5.85821269381731e-223,"G0","S100a9"
"Anxa2",5.26338107321436e-224,-2.06539401848243,0.5,0.927,1.47364143287856e-219,"G0","Anxa2"
"Ly6g",1.05065423881111e-223,-1.65217908901546,0.111,0.489,2.94162173782334e-219,"G0","Ly6g"
"Tyrobp",4.62639195334533e-223,-3.57983875456384,0.718,1,1.29529721909763e-218,"G0","Tyrobp"
"Wfdc21",2.15409393295898e-222,-3.07778162895072,0.519,0.871,6.03103219349855e-218,"G0","Wfdc21"
"Btf3",7.75563547934662e-222,0.955620349818094,1,0.621,2.17142282150747e-217,"G0","Btf3"
"Cfp",1.80410294455601e-219,-1.0060450681567,0.137,0.486,5.0511274241679e-215,"G0","Cfp"
"Eef2",8.0132329428469e-218,1.30317846441895,1,0.509,2.24354495933827e-213,"G0","Eef2"
"Gsr",1.31141098672558e-217,-2.17650792614463,0.531,0.959,3.67168848063429e-213,"G0","Gsr"
"Atp5g2",2.17679422364857e-216,1.50830937747531,1,0.29,6.09458846737128e-212,"G0","Atp5g2"
"Ccdc180",1.43552230734285e-215,-0.731770288971649,0.046,0.253,4.01917535609852e-211,"G0","Ccdc180"
"F630028O10Rik",2.48449108908924e-214,-1.20524923433886,0.16,0.555,6.95607815123205e-210,"G0","F630028O10Rik"
"Trem1",3.2899780225455e-214,-0.936639078352701,0.065,0.369,9.21128046752289e-210,"G0","Trem1"
"Ifitm6",3.77611306533991e-212,-2.27628669976261,0.237,0.592,1.05723613603387e-207,"G0","Ifitm6"
"Vsir",5.88266990363276e-210,-1.28425639386148,0.218,0.661,1.6470299196191e-205,"G0","Vsir"
"Mgst1",9.5343854618921e-210,-1.83295956837718,0.282,0.735,2.66943724162055e-205,"G0","Mgst1"
"Fgl2",6.11510180728535e-208,-1.42598002135858,0.168,0.424,1.71210620400375e-203,"G0","Fgl2"
"Csf3r",8.76223226919853e-202,-1.87894838902676,0.427,0.742,2.4532497907302e-197,"G0","Csf3r"
"Dok3",8.93548783270004e-199,-0.983886235215088,0.141,0.5,2.50175788339936e-194,"G0","Dok3"
"Snrpf",9.61665753369024e-199,1.51734658659111,0.996,0.177,2.69247177628259e-194,"G0","Snrpf"
"Fcer1g",6.04692355199704e-197,-2.6267003659538,0.733,0.997,1.69301765608813e-192,"G0","Fcer1g"
"Mxd1",7.11652806884439e-197,-1.73251742084852,0.37,0.779,1.99248552871505e-192,"G0","Mxd1"
"Sat1",1.15153431815996e-196,-1.90850908900694,0.489,0.881,3.22406578398425e-192,"G0","Sat1"
"Lyz2",1.09299198571248e-194,-2.82241421730232,0.992,0.981,3.0601589615978e-190,"G0","Lyz2"
"Hck",1.12134050203214e-193,-0.815401989370887,0.111,0.405,3.1395291375896e-189,"G0","Hck"
"Ftl1",2.30955087327436e-191,-1.97022797608637,1,1,6.46628053499354e-187,"G0","Ftl1"
"Adam8",3.62659582581576e-190,-0.92828357111674,0.088,0.391,1.0153742993119e-185,"G0","Adam8"
"Litaf",6.13013217997601e-189,-1.42927735729651,0.321,0.668,1.71631440774968e-184,"G0","Litaf"
"Anp32b",6.61790309290013e-188,1.43070621828987,1,0.273,1.85288050795018e-183,"G0","Anp32b"
