Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Aim2,0.194680122,0.157480049,0.02736635,0.052654177,0.058049547,0.203292101,0.372854545,0.231247956,0.032827978,,Neurod1,Aim2,0.351414756,0.43190432,0.398880815,0.149525052
Ifi204,0.028060918,0.025850729,0.041755848,0.220073125,0.82037445,0.902228278,0.88344931,4.307698256,0.261501832,,Timp3,Ifi204,3.408109761,0.177235985,0.182413356,0.06782252
1-Mar,0,0.001032885,0,0,0,0,0,0,0,,Sfrp1,1-Mar,0,0,0,0
2-Mar,1.10253679,1.052783371,0.20509444,0.108912945,0.073266893,0.137490712,0.224606878,0.130299206,0.133647187,,Tgm2,2-Mar,0.932637164,1.130862748,1.101052601,0.789389311
Mavs,0.097863277,0.046182452,0.001760849,0.004287099,0.011984125,0.008344714,0.005609881,0,0,,Tgfb3,Mavs,0.105169249,0.107626363,0.174182191,0.086035878
Zbp1,0.081968927,0.036736165,0.044412838,0.169192337,0.281533874,0.227074241,0.351634748,1.883608635,0.254675171,,Tgfb2,Zbp1,1.175738208,0.223027095,0.398713392,0.498318824
Nfkb1,1.043310218,0.550401676,0.303215066,0.357689332,0.370629747,0.336363348,0.374899638,0.434894861,0.472623641,,Tgfb1,Nfkb1,1.025860859,1.333906216,0.972499338,0.648563557
Arid1a,1.456390105,0.80112176,0.487538825,0.376741103,0.301481687,0.46732729,0.608595177,0.493587785,0.454239775,,Siglec1,Arid1a,0.700161064,0.952387719,1.123995035,0.966117398
Pisd,0.210039389,0.208541042,0.08618281,0.094234073,0.111613902,0.165325827,0.231574126,0.172792218,0.150633578,,Gper1,Pisd,0.500276002,0.190952328,0.211395977,0.207932286
1-Mar,0.00462688,0.008764579,0.062107641,0.223638862,0.257497342,0.369602435,0.541442495,0.561628648,0.348799598,,Shq1,1-Mar,0.890366433,0.420580551,0.913490717,0.023902045
